id,title
0,Trump says he and Xi held 'great meeting' as Chinese leader visits White House
1,White House restores access to media outlets banned by Trump after judge's order
2,Poland says fire at Starlink station is sabotage as Denmark warns of rising Russian threat
3,Man jailed for two years over throwing bottle at Portsmouth migrant protest
4,"'We are living a constant nightmare,' mother of poison seller victim tells hearing"
5,Ex-England striker Andy Carroll reveals he was sexually assaulted in 2021
6,"Crashed RAF jet steered to 'avoid built-up areas' before pilots ejected, commander says"
7,Sri Lanka level ODI series as England fall short in thriller - reaction
8,Nations League: Portugal lead Wales at half-time
9,Drinking at football matches - would fans welcome it?
10,The compromises and power struggles that shaped Fury-Joshua
11,'The lads wanted me to stick one up him' - Wood relives fastest spells
12,'I'm scarily good at lying': Getting the Celebrity Traitors inside scoop
13,Will.i.am backs campaign for Sir Tom Jones to return to The Voice
14,Clarkson's Farm sheep 'theft' actually a miscount
15,Hundreds attend Jacob Elordi lookalike competition
16,Why is Taylor Swift's newest single artwork shaking up the internet?
17,"Humour, tensions and terror: The complexities of writing police procedurals"
18,Comforting noodle bowls for easy and delicious dinners
19,Save time and energy with these quick and healthy air fryer ideas
